date,open,high,low,close,volume
1999-01-28,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,29000
1999-01-29,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-02-01,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-02-02,12.0,12.0,12.0,12.0,600
1999-02-03,12.0,12.0,12.0,12.0,0
1999-02-04,12.0,12.0,12.0,12.0,0
1999-02-05,12.0,12.0,12.0,12.0,0
1999-02-08,12.0,12.0,12.0,12.0,0
1999-02-09,12.0,12.0,12.0,12.0,0
1999-02-10,12.0,12.0,12.0,12.0,0
1999-02-11,11.5,11.5,11.5,11.5,1200
1999-02-12,11.5,11.5,11.5,11.5,0
1999-02-15,11.5,11.5,11.5,11.5,0
1999-02-16,11.5,11.5,11.5,11.5,0
1999-02-17,11.5,11.5,11.5,11.5,0
1999-02-18,11.5,11.5,11.5,11.5,0
1999-02-19,11.5,11.5,11.5,11.5,0
1999-02-22,11.5,11.5,11.5,11.5,0
1999-02-23,11.5,11.5,11.5,11.5,0
1999-02-24,11.5,11.5,11.5,11.5,0
1999-02-25,11.5,11.5,11.5,11.5,0
1999-02-26,11.5,11.5,11.5,11.5,0
1999-03-01,11.5,11.5,11.5,11.5,0
1999-03-02,11.5,11.5,11.5,11.5,0
1999-03-03,11.5,11.5,11.5,11.5,0
1999-03-04,11.5,11.5,11.5,11.5,0
1999-03-05,11.5,11.5,11.5,11.5,0
1999-03-08,11.5,11.5,11.5,11.5,0
1999-03-09,11.5,11.5,11.5,11.5,0
1999-03-10,11.5,11.5,11.5,11.5,0
1999-03-11,11.5,11.5,11.5,11.5,0
1999-03-12,11.5,11.5,11.5,11.5,0
1999-03-15,11.5,11.5,11.5,11.5,0
1999-03-16,11.5,11.5,11.5,11.5,0
1999-03-17,11.5,11.5,11.5,11.5,0
1999-03-18,11.5,11.5,11.5,11.5,0
1999-03-19,11.5,11.5,11.5,11.5,0
1999-03-22,11.5,11.5,11.5,11.5,0
1999-03-23,11.5,11.5,11.5,11.5,0
1999-03-24,11.5,11.5,11.5,11.5,0
1999-03-25,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,200
1999-03-26,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-03-29,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-03-30,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-03-31,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-01,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-02,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-05,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-06,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-07,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-08,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-09,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-12,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-13,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-14,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-15,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-16,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-19,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-20,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-21,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-22,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-23,12.700300216674805,12.800000190734863,12.700300216674805,12.800000190734863,500
1999-04-26,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-27,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-28,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
1999-04-29,11.5,12.700300216674805,11.5,12.700300216674805,5000
1999-04-30,12.700300216674805,12.700300216674805,12.700300216674805,12.700300216674805,0
1999-05-03,12.0,12.0,11.5,11.5,35000
1999-05-04,11.5,11.5,11.5,11.5,0
1999-05-05,11.5,11.5,11.5,11.5,0
1999-05-06,11.5,11.5,11.5,11.5,0
1999-05-07,11.5,11.5,11.5,11.5,0
1999-05-10,12.800000190734863,12.800000190734863,12.0,12.0,200
1999-05-11,12.0,12.0,12.0,12.0,0
1999-05-12,12.0,12.0,12.0,12.0,0
1999-05-13,12.0,12.0,12.0,12.0,0
1999-05-14,12.0,12.0,12.0,12.0,0
1999-05-17,12.0,12.0,12.0,12.0,0
1999-05-18,12.0,12.0,12.0,12.0,0
1999-05-19,12.0,12.0,12.0,12.0,0
1999-05-20,12.0,12.0,12.0,12.0,0
1999-05-21,12.0,12.0,12.0,12.0,0
1999-05-24,12.0,12.0,12.0,12.0,0
1999-05-25,12.0,12.0,12.0,12.0,0
1999-05-26,12.0,12.0,12.0,12.0,0
1999-05-27,12.0,12.0,12.0,12.0,0
1999-05-28,12.0,12.0,12.0,12.0,0
1999-05-31,12.0,12.0,12.0,12.0,0
1999-06-01,12.0,12.0,12.0,12.0,0
1999-06-02,12.0,12.0,12.0,12.0,0
1999-06-03,12.0,12.0,12.0,12.0,0
1999-06-04,12.0,12.0,12.0,12.0,0
1999-06-07,12.0,12.0,12.0,12.0,0
1999-06-08,12.0,12.0,12.0,12.0,0
1999-06-09,12.0,12.0,12.0,12.0,0
1999-06-10,12.0,12.0,12.0,12.0,0
1999-06-11,12.0,12.0,12.0,12.0,0
1999-06-14,12.0,12.0,12.0,12.0,0
1999-06-15,12.0,12.0,12.0,12.0,0
