date,open,high,low,close,volume
1999-04-23,78.5,78.5,78.5,78.5,500
1999-04-26,78.5,78.5,78.5,78.5,0
1999-04-27,78.5,78.5,78.5,78.5,0
1999-04-28,78.5,78.5,78.5,78.5,0
1999-04-29,78.5,78.5,78.5,78.5,0
1999-04-30,78.5,78.5,78.5,78.5,0
1999-05-03,78.5,78.5,78.5,78.5,0
1999-05-04,78.5,78.5,78.5,78.5,0
1999-05-05,78.5,78.5,78.5,78.5,0
1999-05-06,78.5,78.5,78.5,78.5,0
1999-05-07,78.5,78.5,78.5,78.5,0
1999-05-10,78.5,78.5,78.5,78.5,0
1999-05-11,78.5,78.5,78.5,78.5,0
1999-05-12,78.5,78.5,78.5,78.5,0
1999-05-13,78.5,78.5,78.5,78.5,0
1999-05-14,78.5,78.5,78.5,78.5,0
1999-05-17,78.5,78.5,78.5,78.5,0
1999-05-18,78.5,78.5,78.5,78.5,0
1999-05-19,78.5,78.5,78.5,78.5,0
1999-05-20,78.5,78.5,78.5,78.5,0
1999-05-21,78.5,78.5,78.5,78.5,0
1999-05-24,78.5,78.5,78.5,78.5,0
1999-05-25,78.5,78.5,78.5,78.5,0
1999-05-26,78.5,78.5,78.5,78.5,0
1999-05-27,78.5,78.5,78.5,78.5,0
1999-05-28,78.5,78.5,78.5,78.5,0
1999-05-31,78.5,78.5,78.5,78.5,0
1999-06-01,78.5,78.5,78.5,78.5,0
1999-06-02,78.5,78.5,78.5,78.5,0
1999-06-03,78.5,78.5,78.5,78.5,0
1999-06-04,78.5,78.5,78.5,78.5,0
1999-06-07,78.5,78.5,78.5,78.5,0
1999-06-08,78.5,78.5,78.5,78.5,0
1999-06-09,78.5,78.5,78.5,78.5,0
1999-06-10,78.5,78.5,78.5,78.5,0
1999-06-11,78.5,78.5,78.5,78.5,0
1999-06-14,78.5,78.5,78.5,78.5,0
1999-06-15,78.5,78.5,78.5,78.5,0
1999-06-16,78.5,78.5,78.5,78.5,0
1999-06-17,78.5,78.5,78.5,78.5,0
1999-06-18,78.5,78.5,78.5,78.5,0
1999-06-21,78.5,78.5,78.5,78.5,0
1999-06-22,78.5,78.5,78.5,78.5,0
1999-06-23,78.5,78.5,78.5,78.5,0
1999-06-24,78.5,78.5,78.5,78.5,0
1999-06-25,78.5,78.5,78.5,78.5,0
1999-06-28,78.5,78.5,78.5,78.5,0
1999-06-29,78.5,78.5,78.5,78.5,0
1999-06-30,78.5,78.5,78.5,78.5,0
1999-07-01,78.5,78.5,78.5,78.5,0
1999-07-02,78.5,78.5,78.5,78.5,0
1999-07-05,78.5,78.5,78.5,78.5,0
1999-07-06,78.5,78.5,78.5,78.5,0
1999-07-07,78.5,78.5,78.5,78.5,0
1999-07-08,78.5,78.5,78.5,78.5,0
1999-07-09,78.5,78.5,78.5,78.5,0
1999-07-12,78.5,78.5,78.5,78.5,0
1999-07-13,93.0,93.0,93.0,78.5,10000
1999-07-14,78.5,78.5,78.5,78.5,0
1999-07-15,78.5,78.5,78.5,78.5,0
1999-07-16,78.5,78.5,78.5,78.5,0
1999-07-19,78.5,78.5,78.5,78.5,0
1999-07-20,78.5,78.5,78.5,78.5,0
1999-07-21,78.5,78.5,78.5,78.5,0
1999-07-22,78.5,78.5,78.5,78.5,0
1999-07-23,78.5,78.5,78.5,78.5,0
1999-07-26,78.5,78.5,78.5,78.5,0
1999-07-27,78.5,78.5,78.5,78.5,0
1999-07-28,78.5,78.5,78.5,78.5,0
1999-07-29,78.5,78.5,78.5,78.5,0
1999-07-30,78.5,78.5,78.5,78.5,0
1999-08-02,78.5,78.5,78.5,78.5,0
1999-08-03,78.5,78.5,78.5,78.5,0
1999-08-04,78.5,78.5,78.5,78.5,0
1999-08-05,78.5,78.5,78.5,78.5,0
1999-08-06,78.5,78.5,78.5,78.5,0
1999-08-09,78.5,78.5,78.5,78.5,0
1999-08-10,78.5,78.5,78.5,78.5,0
1999-08-11,78.5,78.5,78.5,78.5,0
1999-08-12,78.5,78.5,78.5,78.5,0
1999-08-13,78.5,78.5,78.5,78.5,0
1999-08-16,78.5,78.5,78.5,78.5,0
1999-08-17,78.5,78.5,78.5,78.5,0
1999-08-18,78.5,78.5,78.5,78.5,0
1999-08-19,78.5,78.5,78.5,78.5,0
1999-08-20,78.5,78.5,78.5,78.5,0
1999-08-23,78.5,78.5,78.5,78.5,0
1999-08-24,78.5,78.5,78.5,78.5,0
1999-08-25,78.5,78.5,78.5,78.5,0
1999-08-26,78.5,78.5,78.5,78.5,0
1999-08-27,78.5,78.5,78.5,78.5,0
1999-08-30,83.0,83.0,83.0,93.0,10000
1999-08-31,82.0,83.0,82.0,83.0,20000
1999-09-01,82.0,83.0,82.0,83.0,20000
1999-09-02,83.0,83.0,83.0,83.0,0
1999-09-03,85.0,85.0,83.0,83.0,10000
1999-09-06,83.0,83.0,83.0,83.0,0
1999-09-07,83.0,83.0,83.0,83.0,0
1999-09-08,83.0,83.0,83.0,83.0,0
1999-09-09,83.0,83.0,83.0,83.0,0
1999-09-10,83.0,83.0,83.0,83.0,0
1999-09-13,83.0,83.0,83.0,83.0,0
1999-09-14,83.0,83.0,83.0,83.0,0
1999-09-15,83.0,83.0,83.0,83.0,0
1999-09-16,83.0,83.0,83.0,83.0,0
1999-09-17,83.0,83.0,83.0,83.0,0
1999-09-20,83.0,83.0,83.0,83.0,0
1999-09-21,83.0,83.0,83.0,83.0,0
1999-09-22,99.0,101.5,99.0,85.0,30000
1999-09-23,85.0,85.0,85.0,85.0,0
1999-09-24,94.0,100.5,94.0,100.5,10000
1999-09-27,91.5,94.0,89.0,94.0,16000
1999-09-28,94.0,94.0,94.0,94.0,0
1999-09-29,94.0,94.0,94.0,94.0,0
1999-09-30,94.0,94.0,94.0,94.0,0
1999-10-01,94.0,94.0,94.0,94.0,0
1999-10-04,94.0,94.0,94.0,94.0,0
1999-10-05,94.0,94.0,94.0,94.0,0
1999-10-06,94.0,94.0,94.0,94.0,0
1999-10-07,94.0,94.0,94.0,94.0,0
1999-10-08,94.0,94.0,94.0,94.0,0
1999-10-11,91.0,91.0,89.0,89.0,10000
1999-10-12,91.0,91.0,91.0,91.0,10000
1999-10-13,91.0,91.0,91.0,91.0,0
1999-10-14,91.0,91.0,91.0,91.0,0
1999-10-15,93.0,95.0,91.0,91.0,30000
1999-10-18,91.0,91.0,91.0,91.0,0
1999-10-19,91.0,91.0,91.0,91.0,0
1999-10-20,91.0,91.0,91.0,91.0,0
1999-10-21,91.0,91.0,91.0,91.0,0
1999-10-22,91.0,91.0,91.0,91.0,0
1999-10-25,91.0,91.0,91.0,91.0,0
1999-10-26,91.0,91.0,91.0,91.0,0
1999-10-27,91.0,91.0,91.0,91.0,0
1999-10-28,92.5,95.0,92.5,95.0,20000
1999-10-29,95.0,95.0,95.0,95.0,0
1999-11-01,95.0,95.0,95.0,95.0,0
1999-11-02,93.0,95.0,93.0,95.0,300
1999-11-03,95.0,95.0,95.0,95.0,0
1999-11-04,95.0,95.0,95.0,95.0,0
1999-11-05,95.0,95.0,95.0,95.0,0
1999-11-08,95.0,95.0,95.0,95.0,0
1999-11-09,95.0,95.0,95.0,95.0,0
1999-11-10,95.0,95.0,95.0,95.0,0
1999-11-11,95.0,95.0,95.0,95.0,0
1999-11-12,95.0,95.0,95.0,95.0,0
1999-11-15,95.0,95.0,95.0,95.0,0
1999-11-16,95.0,95.0,95.0,95.0,0
1999-11-17,95.0,95.0,95.0,95.0,0
1999-11-18,95.0,95.0,95.0,95.0,0
1999-11-19,99.5,101.0,93.0,93.0,20000
1999-11-22,93.0,93.0,93.0,93.0,0
1999-11-23,104.0,104.0,101.0,101.0,10000
1999-11-24,102.0,104.0,100.0,104.0,30000
1999-11-25,104.0,104.0,104.0,104.0,0
1999-11-26,104.0,104.0,104.0,104.0,0
1999-11-29,104.0,104.0,104.0,104.0,0
1999-11-30,95.0,102.0,91.5,102.0,20000
1999-12-01,95.0,95.0,91.5,91.5,10000
1999-12-02,90.5,91.5,90.5,91.5,10000
1999-12-03,91.5,91.5,91.5,91.5,0
1999-12-06,91.5,91.5,91.5,91.5,0
1999-12-07,91.5,91.5,91.5,91.5,0
1999-12-08,91.5,91.5,91.5,91.5,0
1999-12-09,91.5,91.5,91.5,91.5,0
1999-12-10,91.5,91.5,91.5,91.5,0
1999-12-13,91.5,91.5,91.5,91.5,0
1999-12-14,91.5,91.5,91.5,91.5,0
1999-12-15,91.5,91.5,91.5,91.5,0
1999-12-16,91.5,91.5,91.5,91.5,0
1999-12-17,91.5,91.5,91.5,91.5,0
1999-12-20,91.5,91.5,91.5,91.5,0
1999-12-21,91.5,91.5,91.5,91.5,0
1999-12-22,91.5,91.5,91.5,91.5,0
1999-12-23,91.5,91.5,91.5,91.5,0
1999-12-24,91.5,91.5,91.5,91.5,0
1999-12-27,91.5,91.5,91.5,91.5,0
1999-12-28,91.5,91.5,91.5,91.5,0
1999-12-29,96.0,96.0,90.5,90.5,10000
1999-12-30,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,0
1999-12-31,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,0
2000-01-03,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,0
2000-01-04,91.0,91.0,91.0,91.0,1000
2000-01-05,92.0,92.0,92.0,92.0,200
2000-01-06,92.0,92.0,92.0,92.0,0
2000-01-07,92.0,92.0,92.0,92.0,0
2000-01-10,92.0,92.0,92.0,92.0,0
2000-01-11,92.0,92.0,92.0,92.0,0
2000-01-12,92.0,92.0,92.0,92.0,0
