window,train_start,trade_start,trade_end,genome,ga_fitness,oos_net,oos_dd,oos_calmar,oos_trades,avg_hold_bars,start_capital,end_capital,ensemble_size_deployed,ensemble_oos_nets
0,2015-01-01 18:00:00-05:00,2017-01-01 18:00:00-05:00,2018-01-01 18:00:00-05:00,"{'w': 2574, 'm': 1306, 'd_min': 0.1, 'd_max': 2.73465992735265, 'v': 116, 'beta': 12.559326370851887, 'vol_mult': 1.3449331257688557}",4.575588756647252,13736.833333333328,3549.0,3.8706208321592923,27,4635.592592592592,100000.0,113736.83333333333,3,"[14043.0, 13983.0, 13184.5]"
1,2016-01-01 18:00:00-05:00,2018-01-01 18:00:00-05:00,2019-01-01 18:00:00-05:00,"{'w': 2431, 'm': 1190, 'd_min': 0.1, 'd_max': 1.6699412698279517, 'v': 160, 'beta': 10.650298925822366, 'vol_mult': 1.1508254000456628}",5.6980106644790816,-6365.0,8407.666666666657,-0.7570471395155224,50,404.94,113736.83333333333,107371.83333333333,3,"[-6259.0, -4348.5, -8487.5]"
2,2017-01-01 18:00:00-05:00,2019-01-01 18:00:00-05:00,2020-01-01 18:00:00-05:00,"{'w': 2537, 'm': 866, 'd_min': 0.11180784521433507, 'd_max': 13.035411715046198, 'v': 103, 'beta': 15.0, 'vol_mult': 1.5}",9.501292785028317,12058.333333333343,14404.166666666642,0.8371420306624261,36,10357.944444444445,107371.83333333333,119430.16666666667,3,"[4948.0, 22383.5, 8843.5]"
3,2018-01-01 18:00:00-05:00,2020-01-01 18:00:00-05:00,2021-01-01 18:00:00-05:00,"{'w': 2968, 'm': 402, 'd_min': 0.25361747084998937, 'd_max': 5.149415943281323, 'v': 133, 'beta': 15.0, 'vol_mult': 0.9029333287998859}",9.200260078023407,18793.16666666667,8414.333333333358,2.2334706651348832,35,1952.6,119430.16666666667,138223.33333333334,3,"[22104.500000000015, 19917.000000000015, 14358.000000000015]"
4,2019-01-01 18:00:00-05:00,2021-01-01 18:00:00-05:00,2022-01-01 18:00:00-05:00,"{'w': 4803, 'm': 764, 'd_min': 0.29819040838717326, 'd_max': 3.0762842108590447, 'v': 192, 'beta': 12.795775578649522, 'vol_mult': 0.7765772950109796}",9.70022445207288,-7803.000000000015,8963.000000000015,-0.87057904719402,32,2923.96875,138223.33333333334,130420.33333333333,3,"[9362.0, -15266.5, -17504.5]"
5,2020-01-01 18:00:00-05:00,2022-01-01 18:00:00-05:00,2023-01-01 18:00:00-05:00,"{'w': 7355, 'm': 404, 'd_min': 0.24055425529066743, 'd_max': 13.389963174681, 'v': 77, 'beta': 11.040886553547775, 'vol_mult': 1.2439153930143396}",10.659485583224116,13324.666666666642,10951.0,1.2167534167351512,33,3504.4848484848485,130420.33333333333,143744.99999999997,3,"[17190.999999999985, 14404.999999999985, 8377.999999999985]"
6,2021-01-01 18:00:00-05:00,2023-01-01 18:00:00-05:00,2024-01-01 18:00:00-05:00,"{'w': 6919, 'm': 1889, 'd_min': 0.1935537164470131, 'd_max': 2.407626715577845, 'v': 99, 'beta': 8.923040972928177, 'vol_mult': 0.4672192538938971}",11.313218390804598,-5013.833333333343,6301.833333333343,-0.795615032662453,11,2249.181818181818,143744.99999999997,138731.16666666663,3,"[-5584.5, -6716.5, -2740.5]"
7,2022-01-01 18:00:00-05:00,2024-01-01 18:00:00-05:00,2025-01-01 18:00:00-05:00,"{'w': 6814, 'm': 2047, 'd_min': 0.11000399071197077, 'd_max': 14.992525902952712, 'v': 147, 'beta': 8.742284232975104, 'vol_mult': 1.0353803304706086}",8.601904376012966,3743.833333333343,9399.5,0.39830132808482827,19,668.0526315789474,138731.16666666663,142474.99999999997,3,"[4198.5, 2849.5, 4183.5]"
8,2023-01-01 18:00:00-05:00,2025-01-01 18:00:00-05:00,2026-01-01 18:00:00-05:00,"{'w': 2320, 'm': 1465, 'd_min': 0.16675716445969663, 'd_max': 10.117176540300424, 'v': 106, 'beta': 8.359795163949265, 'vol_mult': 0.7030386322803674}",1.965514598819833,-2621.5,8666.0,-0.30250403877221327,32,1337.875,142474.99999999997,139853.49999999997,3,"[-4886.0, 404.0, -3382.5]"
9,2024-01-01 18:00:00-05:00,2026-01-01 18:00:00-05:00,2026-02-22 18:59:00-05:00,"{'w': 2799, 'm': 512, 'd_min': 0.2353739046902069, 'd_max': 5.172670407567499, 'v': 33, 'beta': 4.501454643877794, 'vol_mult': 0.3651398538189841}",6.805345952167796,-1346.666666666686,1688.666666666686,-0.7974733517568124,3,52.666666666666664,139853.49999999997,138506.83333333328,3,"[-1337.5, -1337.5, -1365.0]"
