date,sma_50,sma_200,phase,crossover_date
2014-10-16,162.15979553222655,156.1761775970459,1,2014-10-16
2014-10-17,162.13219177246094,156.20948181152343,1,2014-10-16
2014-10-20,162.09848175048828,156.25046508789063,1,2014-10-16
2014-10-21,162.11783325195313,156.30917366027833,1,2014-10-16
2014-10-22,162.11883026123047,156.357622756958,1,2014-10-16
2014-10-23,162.13528991699218,156.41515838623047,1,2014-10-16
2014-10-24,162.16139953613282,156.47839904785155,1,2014-10-16
2014-10-27,162.18370849609374,156.538489151001,1,2014-10-16
2014-10-28,162.21621948242188,156.617847366333,1,2014-10-16
2014-10-29,162.22684143066405,156.68790351867676,1,2014-10-16
2014-10-30,162.24972442626952,156.7591716003418,1,2014-10-16
2014-10-31,162.3007321166992,156.84083198547364,1,2014-10-16
2014-11-03,162.35865325927733,156.92612281799316,1,2014-10-16
2014-11-04,162.388408203125,157.0063242340088,1,2014-10-16
2014-11-05,162.4370022583008,157.09128120422363,1,2014-10-16
2014-11-06,162.50029022216796,157.18573219299316,1,2014-10-16
2014-11-07,162.56852447509766,157.29685028076173,1,2014-10-16
2014-11-10,162.63795959472657,157.4141947174072,1,2014-10-16
2014-11-11,162.7123419189453,157.52804824829101,1,2014-10-16
2014-11-12,162.78489898681642,157.647998046875,1,2014-10-16
2014-11-13,162.86602172851562,157.7612412261963,1,2014-10-16
2014-11-14,162.93317474365233,157.8789670562744,1,2014-10-16
2014-11-17,163.0110238647461,158.01355987548828,1,2014-10-16
2014-11-18,163.12924194335938,158.14805725097656,1,2014-10-16
2014-11-19,163.229677734375,158.28208763122558,1,2014-10-16
2014-11-20,163.33227966308593,158.40819717407226,1,2014-10-16
2014-11-21,163.47228515625,158.52988975524903,1,2014-10-16
2014-11-24,163.6243359375,158.65263290405272,1,2014-10-16
2014-11-25,163.74924987792969,158.76673446655275,1,2014-10-16
2014-11-26,163.8784783935547,158.88265769958497,1,2014-10-16
2014-11-28,163.98284790039062,158.99293586730957,1,2014-10-16
2014-12-01,164.06642395019531,159.09315498352052,1,2014-10-16
2014-12-02,164.19756896972658,159.19797012329101,1,2014-10-16
2014-12-03,164.36075561523438,159.31105667114258,1,2014-10-16
2014-12-04,164.49454193115236,159.41879531860351,1,2014-10-16
2014-12-05,164.6871304321289,159.52879325866698,1,2014-10-16
2014-12-08,164.83099243164062,159.6288976287842,1,2014-10-16
2014-12-09,164.97848846435548,159.72870895385742,1,2014-10-16
2014-12-10,165.0799005126953,159.81481155395508,1,2014-10-16
2014-12-11,165.24242767333985,159.90121765136718,1,2014-10-16
2014-12-12,165.34995330810546,159.972082901001,1,2014-10-16
2014-12-15,165.3993374633789,160.0425846862793,1,2014-10-16
2014-12-16,165.42609619140626,160.0958918762207,1,2014-10-16
2014-12-17,165.5669857788086,160.16452766418456,1,2014-10-16
2014-12-18,165.73446807861328,160.2520174407959,1,2014-10-16
2014-12-19,165.98089752197265,160.34281394958495,1,2014-10-16
2014-12-22,166.2794418334961,160.4379624938965,1,2014-10-16
2014-12-23,166.63433532714845,160.53806091308593,1,2014-10-16
2014-12-24,166.98476989746095,160.63803848266602,1,2014-10-16
2014-12-26,167.3673080444336,160.74935005187987,1,2014-10-16
2014-12-29,167.7571405029297,160.86394203186035,1,2014-10-16
2014-12-30,168.09203369140624,160.9670824432373,1,2014-10-16
2014-12-31,168.3624887084961,161.05625381469727,1,2014-10-16
2015-01-02,168.56884857177735,161.14904106140136,1,2014-10-16
2015-01-05,168.73638610839845,161.2219850921631,1,2014-10-16
2015-01-06,168.8353692626953,161.29000549316407,1,2014-10-16
2015-01-07,168.95093231201173,161.37151443481446,1,2014-10-16
2015-01-08,169.13057678222657,161.46432960510253,1,2014-10-16
2015-01-09,169.2456539916992,161.55577461242675,1,2014-10-16
2015-01-12,169.33911376953125,161.6421720123291,1,2014-10-16
2015-01-13,169.40213104248048,161.72248039245605,1,2014-10-16
2015-01-14,169.40722869873048,161.79150642395018,1,2014-10-16
2015-01-15,169.37994995117188,161.84782028198242,1,2014-10-16
2015-01-16,169.40758056640624,161.9123941040039,1,2014-10-16
2015-01-20,169.4213754272461,161.97977561950682,1,2014-10-16
2015-01-21,169.43873107910156,162.0605138397217,1,2014-10-16
2015-01-22,169.50310546875,162.1622173309326,1,2014-10-16
2015-01-23,169.5381414794922,162.25612030029296,1,2014-10-16
2015-01-26,169.57784576416014,162.3438762664795,1,2014-10-16
2015-01-27,169.57617614746093,162.4364557647705,1,2014-10-16
2015-01-28,169.52752685546875,162.52498886108398,1,2014-10-16
2015-01-29,169.50877655029296,162.6153542327881,1,2014-10-16
