ticker,type,exchange,start_date,end_date,trading_days,file_format,last_close,avg_close,avg_volume,avg_dollar_volume,source,gcs_available,gcs_file,file_size_bytes
0A0C.L,international,L,2019-04-17,2025-10-17,1480.0,parquet,19.86,33.98,26017.0,884025.0,local,False,,
0HGV.L,international,L,2018-01-29,2025-10-17,913.0,parquet,31.03,16.36,7453.0,121960.0,local,False,,
0HWG.L,international,L,2018-01-29,2025-10-17,1148.0,parquet,12.9,28.12,3963.0,111441.0,local,False,,
0JDO.L,international,L,2018-01-29,2025-10-17,1125.0,parquet,18.45,36.19,948.0,34310.0,local,False,,
0K1R.L,international,L,2018-01-29,2025-10-17,726.0,parquet,23.71,28.04,1193.0,33466.0,local,False,,
0LEE.L,international,L,2018-01-29,2025-10-17,915.0,parquet,20.7,36.22,885.0,32062.0,local,False,,
0P0000ZN7S.L,international,L,2014-01-02,2025-10-17,2981.0,parquet,1.52,1.26,0.0,0.0,local,False,,
0P0001I2A0.L,international,L,2019-07-17,2025-10-17,1580.0,parquet,1.0,1.0,0.0,0.0,local,False,,
0P0001I2A1.L,international,L,2019-07-17,2025-10-17,1580.0,parquet,1.16,1.04,0.0,0.0,local,False,,
0QIG.L,international,L,2009-01-27,2025-10-17,2086.0,parquet,7.03,18.08,13671.0,247140.0,local,False,,
0QLN.L,international,L,2014-07-31,2025-10-17,2032.0,parquet,147.13,307.76,6735.0,2072765.0,local,False,,
0QMV.L,international,L,2014-05-02,2025-10-17,2103.0,parquet,86.94,104.72,60138.0,6297582.0,local,False,,
0QN2.L,international,L,2016-03-21,2025-10-17,1866.0,parquet,2389.92,2477.67,196.0,486952.0,local,False,,
0QNN.L,international,L,2014-05-27,2025-10-17,1988.0,parquet,566.56,416.54,780.0,325050.0,local,False,,
0R2I.L,international,L,2014-11-06,2025-10-17,1434.0,parquet,4.78,12.86,10269.0,132079.0,local,False,,
0XWG.L,international,L,2021-12-03,2025-10-17,976.0,parquet,2.04,11.62,21527.0,250153.0,local,False,,
0ZFN.L,international,L,2018-11-23,2025-10-17,1188.0,parquet,16.78,19.71,2466.0,48596.0,local,False,,
18MF.DE,international,DE,2010-03-04,2025-10-17,3914.0,parquet,23.58,53.14,82971.0,4408878.0,local,False,,
2B76.DE,international,DE,2016-09-08,2025-10-17,2316.0,parquet,13.82,8.98,293758.0,2637572.0,local,False,,
2HQ.DE,international,DE,2023-03-29,2025-10-17,651.0,parquet,1.3,1.46,74865.0,109484.0,local,False,,
3LEU.L,international,L,2012-12-13,2025-10-17,3240.0,parquet,47510.0,21008.28,131.0,2767315.0,local,False,,
3SDE.L,international,L,2012-12-13,2025-10-17,3245.0,parquet,16.24,1173.58,87555.0,102753353.0,local,False,,
3SUR.DE,international,DE,2018-07-12,2025-10-17,1848.0,parquet,1925.8,1440.81,323.0,466587.0,local,False,,
5CV.DE,international,DE,2020-08-25,2025-10-17,1315.0,parquet,4.58,21.23,108587.0,2305552.0,local,False,,
5ESE.DE,international,DE,2021-11-05,2025-10-17,1008.0,parquet,76.23,58.12,1721.0,100065.0,local,False,,
5ESG.DE,international,DE,2020-03-24,2025-10-17,1421.0,parquet,77.64,54.81,11649.0,638576.0,local,False,,
7USH.DE,international,DE,2023-06-02,2025-10-17,607.0,parquet,43.57,41.5,14161.0,587684.0,local,False,,
9E0E.DE,international,DE,2022-03-11,2025-10-17,921.0,parquet,46.12,44.94,4228.0,190034.0,local,False,,
AAPL,us_equity,US,2006-01-10,2025-11-21,5000.0,parquet,271.49,63.7,353768932.0,22536748978.0,local,False,,
ABS2.DE,international,DE,2017-12-29,2025-10-17,1983.0,parquet,28.6,17.06,795.0,13571.0,local,False,,
ACEL,us_equity,US,2017-08-24,2025-10-17,2049.0,parquet,10.28,10.61,244236.0,2591712.0,local,False,,
ACT.DE,international,DE,2004-08-12,2025-10-17,5392.0,parquet,152.0,22.44,2490.0,55876.0,local,False,,
